dateEndOfInteraction,dateStartOfInteraction,endOfInteraction,startOfInteraction,subjectID,ID
25/04/2024,25/04/2024,18:43:20,17:26:09,ej15,
25/04/2024,25/04/2024,19:14:00,18:58:41,ej15,
25/04/2024,25/04/2024,21:14:12,19:26:06,ej15,
26/04/2024,26/04/2024,13:03:24,09:39:26,ej15,
26/04/2024,26/04/2024,14:38:42,14:28:12,ej15,
26/04/2024,26/04/2024,15:02:40,15:01:20,ej15,
26/04/2024,26/04/2024,15:10:48,15:06:20,ej15,
26/04/2024,26/04/2024,15:37:22,15:27:25,ej15,
26/04/2024,26/04/2024,16:18:41,16:09:52,ej15,
26/04/2024,26/04/2024,17:21:55,17:19:12,ej15,
28/04/2024,28/04/2024,13:57:24,11:23:05,ej15,
28/04/2024,28/04/2024,14:38:48,14:12:57,ej15,
28/04/2024,28/04/2024,15:27:22,15:21:47,ej15,
25/03/2024,25/03/2024,19:04:32,18:36:29,hp21,
25/03/2024,25/03/2024,19:18:55,19:13:35,hp21,
25/03/2024,25/03/2024,19:32:50,19:31:41,hp21,
25/03/2024,25/03/2024,20:00:00,19:36:45,hp21,
25/03/2024,25/03/2024,20:55:16,20:06:05,hp21,
26/03/2024,26/03/2024,00:12:05,00:11:46,hp21,
26/03/2024,26/03/2024,00:56:29,00:17:41,hp21,
26/03/2024,26/03/2024,01:05:07,01:00:59,hp21,
26/03/2024,26/03/2024,01:18:33,01:14:53,hp21,
26/03/2024,26/03/2024,02:22:14,01:26:15,hp21,
26/03/2024,26/03/2024,02:26:38,02:25:52,hp21,
26/03/2024,26/03/2024,02:31:27,02:31:20,hp21,
26/03/2024,26/03/2024,03:05:38,02:45:53,hp21,
26/03/2024,26/03/2024,03:46:07,03:16:44,hp21,
26/03/2024,26/03/2024,04:35:10,03:56:42,hp21,
26/03/2024,26/03/2024,04:46:43,04:39:39,hp21,
26/03/2024,26/03/2024,05:33:30,04:56:42,hp21,
26/03/2024,26/03/2024,05:53:20,05:36:43,hp21,
26/03/2024,26/03/2024,06:03:46,06:02:21,hp21,
05/04/2024,05/04/2024,13:46:03,13:44:08,hp21,
05/04/2024,05/04/2024,14:19:11,14:14:25,hp21,
05/04/2024,05/04/2024,15:15:57,15:07:31,hp21,
12/04/2024,12/04/2024,17:28:41,17:10:48,mm01,
12/04/2024,12/04/2024,18:22:02,18:20:38,mm01,
12/04/2024,12/04/2024,19:45:42,18:48:37,mm01,
12/04/2024,12/04/2024,20:47:36,20:04:22,mm01,
12/04/2024,12/04/2024,00:09:53,21:06:53,mm01,
13/04/2024,13/04/2024,00:19:30,00:10:37,mm01,
15/04/2024,15/04/2024,18:11:32,18:09:20,mm01,
15/04/2024,15/04/2024,18:18:51,18:17:59,mm01,
15/04/2024,15/04/2024,20:15:52,18:22:00,mm01,
15/04/2024,15/04/2024,20:37:47,20:18:58,mm01,
15/04/2024,15/04/2024,20:48:08,20:41:47,mm01,
15/04/2024,15/04/2024,23:25:35,22:17:17,mm01,
16/04/2024,16/04/2024,06:57:56,06:49:52,mm01,
16/04/2024,16/04/2024,07:18:13,07:15:09,mm01,
16/04/2024,16/04/2024,07:35:51,07:24:36,mm01,
12/04/2024,12/04/2024,17:29:29,17:10:46,mm02,
12/04/2024,12/04/2024,18:19:43,18:18:15,mm02,
12/04/2024,12/04/2024,18:26:00,18:25:29,mm02,
12/04/2024,12/04/2024,18:38:39,18:36:39,mm02,
12/04/2024,12/04/2024,18:44:16,18:41:43,mm02,
12/04/2024,12/04/2024,19:46:09,18:48:13,mm02,
12/04/2024,12/04/2024,20:00:26,19:53:15,mm02,
12/04/2024,12/04/2024,20:47:35,20:03:38,mm02,
12/04/2024,12/04/2024,00:02:56,20:52:27,mm02,
13/04/2024,13/04/2024,00:19:19,00:03:09,mm02,
15/04/2024,15/04/2024,18:10:48,18:09:19,mm02,
15/04/2024,15/04/2024,19:21:25,18:17:54,mm02,
15/04/2024,15/04/2024,20:05:17,19:24:27,mm02,
15/04/2024,15/04/2024,20:43:24,20:08:39,mm02,
15/04/2024,15/04/2024,20:51:47,20:46:44,mm02,
15/04/2024,15/04/2024,21:10:37,21:09:32,mm02,
15/04/2024,15/04/2024,21:55:55,21:49:20,mm02,
15/04/2024,15/04/2024,22:03:00,22:01:55,mm02,
15/04/2024,15/04/2024,22:10:11,22:09:44,mm02,
15/04/2024,15/04/2024,23:15:12,22:17:03,mm02,
16/04/2024,16/04/2024,06:58:16,06:41:37,mm02,
16/04/2024,16/04/2024,07:18:09,07:14:54,mm02,
16/04/2024,16/04/2024,07:36:17,07:24:41,mm02,
17/04/2024,17/04/2024,11:17:38,11:08:47,mt28,
17/04/2024,17/04/2024,11:27:57,11:25:23,mt28,
17/04/2024,17/04/2024,11:58:37,11:38:50,mt28,
17/04/2024,17/04/2024,12:40:13,12:01:40,mt28,
17/04/2024,17/04/2024,12:45:36,12:44:03,mt28,
17/04/2024,17/04/2024,14:46:50,12:48:55,mt28,
17/04/2024,17/04/2024,15:49:17,14:49:54,mt28,
17/04/2024,17/04/2024,16:59:05,16:49:54,mt28,
17/04/2024,17/04/2024,17:22:08,17:07:08,mt28,
17/04/2024,17/04/2024,17:50:44,17:28:24,mt28,
17/04/2024,17/04/2024,17:57:25,17:54:34,mt28,
19/04/2024,19/04/2024,10:33:51,10:29:36,mt28,
19/04/2024,19/04/2024,10:37:44,10:37:01,mt28,
